country;percentage_of_population
Afghanistan;9.9
Albania;83.77
Algeria;18.73
Argentina;45.2
Armenia;73.07
Australia;54.73
Austria;59.39
Bahrain;45.42
Bangladesh;33.17
Barbados;86.53
Belgium;49.64
Belize;78.22
Benin;16.05
Bolivia;24.16
Botswana;71.58
Brazil;39.32
Brunei;55.2
Bulgaria;68.88
Burundi;5.86
Cambodia;13.46
Cameroon;25.54
Canada;46.25
Central African Republic;16.12
Chile;56.97
China;61.75
Colombia;36.57
Congo;40.95
Costa Rica;23.56
Cote d'Ivoire;17.33
Croatia;70.93
Cuba;64.44
Cyprus;44.95
Czechia;83.29
Democratic Republic of Congo;21.22
Denmark;61.63
Dominican Republic;43.57
Ecuador;28.22
Egypt;42.03
El Salvador;34.91
Estonia;60.39
Eswatini;22.54
Fiji;51.19
Finland;68.39
France;54.78
Gabon;32.98
Gambia;22.36
Germany;72.25
Ghana;51.19
Greece;36.31
Guatemala;22.55
Guyana;54.18
Haiti;27.47
Honduras;22.53
Hong Kong;56.75
Hungary;78.48
Iceland;35.84
India;33
Indonesia;34.79
Iran;42.52
Iraq;24.76
Ireland;36.81
Israel;41.86
Italy;61.69
Jamaica;57.46
Japan;57.04
Jordan;57.93
Kazakhstan;74.1
Kenya;21.15
Kuwait;40.6
Kyrgyzstan;77.74
Laos;24.72
Latvia;77.51
Lesotho;18.98
Liberia;21.36
Libya;30.61
Lithuania;62.35
Luxembourg;42.8
Macao;53.4
Malawi;15.93
Malaysia;51.85
Maldives;28.24
Mali;8.41
Malta;56.25
Mauritania;12.14
Mauritius;48.7
Mexico;38.65
Moldova;76.82
Mongolia;61.06
Morocco;15.96
Mozambique;3.13
Myanmar;11.71
Namibia;31.68
Nepal;24.03
Netherlands;60.71
New Zealand;27.89
Nicaragua;27.73
Niger;4.04
Norway;64.52
Pakistan;25.53
Panama;33.98
Papua New Guinea;9.54
Paraguay;28.37
Peru;38.3
Philippines;40.65
Poland;60.55
Portugal;29.2
Qatar;33.78
Romania;75.42
Russia;31.75
Rwanda;6.96
Saudi Arabia;40.93
Senegal;7.86
Serbia;70.18
Sierra Leone;14.34
Singapore;39.23
Slovakia;81.72
Slovenia;73.76
South Africa;66.98
South Korea;44.6
Spain;41.72
Sri Lanka;59.92
Sudan;12.39
Sweden;57.42
Switzerland;62.59
Syria;28.07
Tajikistan;84.49
Tanzania;6.74
Thailand;26.33
Togo;24.31
Tonga;81.77
Trinidad and Tobago;50.02
Tunisia;26.83
Turkey;25.72
Uganda;25.87
Ukraine;53.63
United Arab Emirates;48.32
United Kingdom;55.6
United States;39.79
Uruguay;40.09
Venezuela;37.84
Vietnam;57.8
Yemen;15.08
Zambia;33.47
Zimbabwe;54.26
